id,city,month,match_type,team_a,team_b,toss_won,toss_decision,venue,score_a,score_b,winner
413,Karachi,January,ODI,Pakistan,Zimbabwe,Zimbabwe,field,National Stadium,347,243,Pakistan
414,,August,ODI,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club,246,244,Zimbabwe
415,Lahore,May,ODI,Pakistan,Zimbabwe,Pakistan,field,Gaddafi Stadium,269,268,Pakistan
416,,March,ODI,Australia,Pakistan,Pakistan,bat,Adelaide Oval,216,213,Australia
417,,October,ODI,Australia,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,217,215,Australia
418,Perth,January,ODI,Australia,Pakistan,Pakistan,bat,Western Australia Cricket Association Ground,213,212,Australia
419,Brisbane,August,ODI,Australia,Pakistan,Australia,field,Peter Burge Oval,124,121,Australia
420,,January,ODI,Australia,Pakistan,Australia,bat,Sydney Cricket Ground,353,267,Australia
421,Dubai,March,ODI,Australia,Pakistan,Pakistan,field,Dubai International Cricket Stadium,327,307,Australia
422,Taunton,June,ODI,Australia,Pakistan,Pakistan,field,The Cooper Associates County Ground,307,266,Australia
423,,January,ODI,Australia,Pakistan,Australia,bat,Melbourne Cricket Ground,220,221,Pakistan
424,Sharjah,March,ODI,Australia,Pakistan,Pakistan,bat,Sharjah Cricket Stadium,285,284,Australia
425,Abu Dhabi,May,ODI,Australia,Pakistan,Pakistan,bat,Sheikh Zayed Stadium,200,197,Australia
426,Colombo,March,ODI,Australia,Pakistan,Australia,bat,R Premadasa Stadium,176,178,Pakistan
427,Dubai,March,ODI,Australia,Pakistan,Pakistan,field,Dubai International Cricket Stadium,277,271,Australia
428,Abu Dhabi,March,ODI,Australia,Pakistan,Australia,bat,Sheikh Zayed Stadium,266,186,Australia
429,Kuala Lumpur,October,ODI,Pakistan,Australia,Pakistan,bat,Kinrara Academy Oval,95,95,Australia
430,Abu Dhabi,May,ODI,Australia,Pakistan,Australia,bat,Sheikh Zayed Stadium,250,254,Pakistan
431,Abu Dhabi,October,ODI,Australia,Pakistan,Australia,bat,Sheikh Zayed Stadium,231,230,Australia
432,Brisbane,August,ODI,Australia,Pakistan,Pakistan,bat,Peter Burge Oval,190,189,Australia
433,,January,ODI,Australia,Pakistan,Australia,bat,Adelaide Oval,369,312,Australia
434,Abu Dhabi,August,ODI,Australia,Pakistan,Australia,bat,Sheikh Zayed Stadium,248,249,Pakistan
435,Centurion,September,ODI,Australia,Pakistan,Australia,field,SuperSport Park,206,205,Australia
436,,January,ODI,Australia,Pakistan,Pakistan,field,Sydney Cricket Ground,267,127,Australia
437,Sharjah,March,ODI,Australia,Pakistan,Pakistan,bat,Sharjah Cricket Stadium,281,280,Australia
438,Brisbane,January,ODI,Australia,Pakistan,Australia,bat,"Brisbane Cricket Ground, Woolloongabba",268,176,Australia
439,Leicester,July,ODI,Australia,Pakistan,Australia,bat,Grace Road,290,131,Australia
440,,April,ODI,Australia,Pakistan,Pakistan,bat,Dubai Sports City Cricket Stadium,208,207,Australia
441,Brisbane,January,ODI,Australia,Pakistan,Pakistan,bat,"Brisbane Cricket Ground, Woolloongabba",275,274,Australia
442,,January,ODI,Australia,Pakistan,Australia,bat,Adelaide Oval,286,246,Australia
443,,April,ODI,Australia,Pakistan,Australia,bat,Dubai Sports City Cricket Stadium,168,171,Pakistan
444,,September,ODI,Australia,Pakistan,Australia,field,Sharjah Cricket Stadium,250,244,Australia
445,Abu Dhabi,April,ODI,Australia,Pakistan,Australia,bat,Sheikh Zayed Stadium,198,171,Australia
446,,October,ODI,Australia,Pakistan,Australia,bat,Sharjah Cricket Stadium,255,162,Australia
447,,August,ODI,Australia,Pakistan,Pakistan,bat,Sharjah Cricket Stadium,199,198,Australia
448,Perth,January,ODI,Australia,Pakistan,Australia,field,Western Australia Cricket Association Ground,265,263,Australia
449,Perth,January,ODI,Australia,Pakistan,Australia,bat,Western Australia Cricket Association Ground,277,142,Australia
450,Kuala Lumpur,October,ODI,Australia,Pakistan,Australia,bat,Kinrara Academy Oval,324,235,Australia
451,Kuala Lumpur,October,ODI,Australia,Pakistan,Australia,bat,Kinrara Academy Oval,273,123,Australia
452,,February,ODI,Pakistan,India,Pakistan,bat,Rawalpindi Cricket Stadium,265,266,India
453,Colombo,February,ODI,India,Pakistan,India,field,P Sara Oval,70,67,India
454,Abu Dhabi,April,ODI,India,Pakistan,India,bat,Sheikh Zayed Stadium,269,218,India
455,Manchester,June,ODI,India,Pakistan,Pakistan,field,Old Trafford,336,212,India
456,Karachi,June,ODI,Pakistan,India,Pakistan,bat,National Stadium,299,301,India
457,,September,ODI,Pakistan,India,Pakistan,bat,Dubai International Cricket Stadium,162,164,India
458,Abu Dhabi,April,ODI,India,Pakistan,India,bat,Sheikh Zayed Stadium,197,201,Pakistan
459,Chandigarh,March,ODI,India,Pakistan,India,bat,"Punjab Cricket Association Stadium, Mohali",260,231,India
460,,February,ODI,Pakistan,India,India,field,Multan Cricket Stadium,161,162,India
461,Kanpur,November,ODI,India,Pakistan,Pakistan,field,Green Park,294,248,India
462,Guwahati,November,ODI,India,Pakistan,Pakistan,bat,Nehru Stadium,242,239,India
463,,February,ODI,India,Pakistan,India,bat,Adelaide Oval,300,224,India
464,Lahore,February,ODI,Pakistan,India,India,field,Gaddafi Stadium,288,292,India
465,Mirpur,June,ODI,India,Pakistan,India,bat,Shere Bangla National Stadium,330,190,India
466,Karachi,February,ODI,Pakistan,India,India,field,National Stadium,286,287,India
467,Karachi,July,ODI,Pakistan,India,India,bat,National Stadium,309,308,Pakistan
468,Kolkata,January,ODI,India,Pakistan,India,field,Eden Gardens,165,250,Pakistan
469,Centurion,September,ODI,India,Pakistan,Pakistan,bat,SuperSport Park,248,302,Pakistan
470,Mirpur,March,ODI,India,Pakistan,Pakistan,bat,Shere Bangla National Stadium,330,329,India
471,Gwalior,November,ODI,India,Pakistan,Pakistan,bat,Captain Roop Singh Stadium,260,255,India
472,,June,ODI,India,Pakistan,Pakistan,bat,Rangiri Dambulla International Stadium,271,267,India
473,Birmingham,June,ODI,India,Pakistan,Pakistan,field,Edgbaston,319,164,India
474,,September,ODI,Pakistan,India,Pakistan,bat,Dubai International Cricket Stadium,237,238,India
475,Peshawar,February,ODI,Pakistan,India,Pakistan,field,Arbab Niaz Stadium,311,328,Pakistan
476,Birmingham,June,ODI,India,Pakistan,India,field,Edgbaston,102,165,India
477,Mirpur,June,ODI,India,Pakistan,Pakistan,bat,Shere Bangla National Stadium,290,315,Pakistan
478,Chennai,December,ODI,India,Pakistan,Pakistan,field,"MA Chidambaram Stadium, Chepauk",227,228,Pakistan
479,Chandigarh,November,ODI,India,Pakistan,India,bat,"Punjab Cricket Association Stadium, Mohali",321,322,Pakistan
480,London,June,ODI,India,Pakistan,India,field,Kennington Oval,158,338,Pakistan
481,Jaipur,November,ODI,India,Pakistan,India,field,Sawai Mansingh Stadium,275,306,Pakistan
482,Mirpur,March,ODI,India,Pakistan,Pakistan,field,Shere Bangla National Stadium,245,249,Pakistan
483,Delhi,January,ODI,India,Pakistan,India,bat,Feroz Shah Kotla,167,157,India
484,Derby,July,ODI,India,Pakistan,India,bat,County Ground,169,74,India
485,,July,T20,Pakistan,Australia,Australia,field,Harare Sports Club,194,149,Pakistan
486,,February,T20,Australia,Pakistan,Australia,bat,Melbourne Cricket Ground,127,125,Australia
487,,October,T20,Australia,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,97,96,Australia
488,St Lucia,May,T20,Australia,Pakistan,Australia,bat,"Beausejour Stadium, Gros Islet",191,157,Australia
489,Gold Coast,September,T20,Australia,Pakistan,Australia,bat,Kerrydale Oval,139,119,Australia
490,Gold Coast,August,T20,Australia,Pakistan,Australia,bat,Kerrydale Oval,149,86,Australia
491,Chandigarh,March,T20,Australia,Pakistan,Australia,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",193,172,Australia
492,St Lucia,May,T20,Australia,Pakistan,Australia,field,"Beausejour Stadium, Gros Islet",197,191,Australia
493,,July,T20,Australia,Pakistan,Australia,bat,Harare Sports Club,183,187,Pakistan
494,,March,T20,Australia,Pakistan,Australia,bat,Sylhet Stadium,185,91,Australia
495,Guyana,November,T20,Australia,Pakistan,Australia,bat,Providence Stadium,165,113,Australia
496,Birmingham,July,T20,Australia,Pakistan,Pakistan,bat,Edgbaston,151,162,Pakistan
497,Kuala Lumpur,October,T20,Pakistan,Australia,Australia,field,Kinrara Academy Oval,97,98,Australia
498,Kuala Lumpur,October,T20,Australia,Pakistan,Australia,bat,Kinrara Academy Oval,195,131,Australia
499,,October,T20,Pakistan,Australia,Pakistan,bat,Dubai International Cricket Stadium,150,117,Pakistan
500,Colombo,October,T20,Australia,Pakistan,Australia,field,R Premadasa Stadium,117,149,Pakistan
501,Gold Coast,September,T20,Australia,Pakistan,Pakistan,bat,Kerrydale Oval,87,84,Australia
502,Gold Coast,August,T20,Australia,Pakistan,Pakistan,bat,Kerrydale Oval,95,92,Australia
503,Birmingham,July,T20,Australia,Pakistan,Pakistan,bat,Edgbaston,144,167,Pakistan
504,,September,T20,Australia,Pakistan,Australia,bat,Galle International Stadium,146,38,Australia
505,Kuala Lumpur,October,T20,Pakistan,Australia,Australia,field,Kinrara Academy Oval,101,104,Australia
506,,May,T20,Australia,Pakistan,Pakistan,field,Dubai International Cricket Stadium,108,109,Pakistan
507,,September,T20,Australia,Pakistan,Pakistan,field,Dubai International Cricket Stadium,89,90,Pakistan
508,Perth,November,T20,Australia,Pakistan,Australia,field,Perth Stadium,109,106,Australia
509,Sydney,November,T20,Australia,Pakistan,Australia,field,Sydney Cricket Ground,41,107,draw
510,,September,T20,Australia,Pakistan,Pakistan,field,Dubai International Cricket Stadium,168,74,Australia
511,,July,T20,Pakistan,Australia,Australia,field,Harare Sports Club,116,117,Australia
512,,October,T20,Pakistan,Australia,Pakistan,bat,Dubai International Cricket Stadium,147,136,Pakistan
513,Abu Dhabi,October,T20,Pakistan,Australia,Australia,field,Sheikh Zayed Stadium,155,89,Pakistan
514,Mirpur,March,T20,Australia,Pakistan,Australia,field,Shere Bangla National Stadium,175,191,Pakistan
515,Canberra,November,T20,Australia,Pakistan,Pakistan,bat,Manuka Oval,151,150,Australia
516,Johannesburg,September,T20,Australia,Pakistan,Pakistan,field,New Wanderers Stadium,164,165,Pakistan
517,,September,T20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club,121,136,Pakistan
518,,August,T20,Zimbabwe,Pakistan,Zimbabwe,field,Harare Sports Club,160,179,Pakistan
519,,August,T20,Zimbabwe,Pakistan,Zimbabwe,field,Harare Sports Club,136,161,Pakistan
520,,September,T20,Zimbabwe,Pakistan,Zimbabwe,field,Harare Sports Club,113,198,Pakistan
521,,July,T20,Pakistan,Zimbabwe,Zimbabwe,field,Harare Sports Club,182,108,Pakistan
522,Lahore,May,T20,Pakistan,Zimbabwe,Zimbabwe,bat,Gaddafi Stadium,173,172,Pakistan
523,,September,T20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club,123,136,Pakistan
524,,July,T20,Zimbabwe,Pakistan,Pakistan,field,Harare Sports Club,162,163,Pakistan
525,Lahore,May,T20,Pakistan,Zimbabwe,Zimbabwe,bat,Gaddafi Stadium,176,175,Pakistan
526,,September,T20,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club,136,141,Pakistan
527,,April,T20,India,Pakistan,India,bat,Sylhet Stadium,106,100,India
528,Kuala Lumpur,June,T20,Pakistan,India,Pakistan,bat,Kinrara Academy Oval,72,75,India
529,Mirpur,February,T20,India,Pakistan,India,field,Shere Bangla National Stadium,85,83,India
530,Ahmedabad,December,T20,India,Pakistan,Pakistan,field,"Sardar Patel Stadium, Motera",192,181,India
531,,October,T20,India,Pakistan,Pakistan,bat,Guanggong International Cricket Stadium,94,93,India
532,Johannesburg,September,T20,India,Pakistan,India,bat,New Wanderers Stadium,157,152,India
533,Delhi,March,T20,India,Pakistan,Pakistan,field,Feroz Shah Kotla,96,77,Pakistan
534,Colombo,September,T20,India,Pakistan,Pakistan,bat,R Premadasa Stadium,129,128,India
535,Kolkata,March,T20,India,Pakistan,India,field,Eden Gardens,119,118,India
536,,October,T20,India,Pakistan,Pakistan,bat,Galle International Stadium,97,98,Pakistan
537,Bangalore,December,T20,India,Pakistan,Pakistan,field,M Chinnaswamy Stadium,133,134,Pakistan
538,Bangkok,December,T20,India,Pakistan,India,bat,Asian Institute of Technology Ground,121,104,India
539,Durban,September,T20,India,Pakistan,Pakistan,field,Kingsmead,141,141,draw
540,,October,T20,India,Pakistan,India,bat,Guanggong International Cricket Stadium,81,63,India
541,Mirpur,March,T20,India,Pakistan,India,field,Shere Bangla National Stadium,131,130,India
542,Guyana,November,T20,Pakistan,India,India,field,Providence Stadium,133,127,India
