id,city,month,match_type,team_a,team_b,toss_won,toss_decision,venue,score_a,score_b,winner
83,Loughborough,July,T20,England,Pakistan,England,bat,Haslegrave Ground,145,75,England
84,Loughborough,September,T20,England,Pakistan,England,bat,Haslegrave Ground,162,81,England
85,,November,T20,England,Pakistan,England,bat,Dubai International Cricket Stadium,160,146,England
86,,November,T20,England,Pakistan,England,bat,Dubai International Cricket Stadium,172,169,England
87,,September,T20,England,Pakistan,Pakistan,field,Galle International Stadium,133,90,England
88,Dunedin,January,ODI,New Zealand,Pakistan,New Zealand,bat,University Oval,257,74,New Zealand
89,,December,ODI,New Zealand,Pakistan,Pakistan,bat,Sharjah Cricket Stadium,217,364,Pakistan
90,Christchurch,January,ODI,New Zealand,Pakistan,New Zealand,field,AMI Stadium,250,293,Pakistan
91,,November,ODI,Pakistan,New Zealand,Pakistan,bat,Sharjah Cricket Stadium,147,148,New Zealand
92,Wellington,January,ODI,New Zealand,Pakistan,New Zealand,field,Westpac Stadium,213,210,New Zealand
93,Abu Dhabi,November,ODI,New Zealand,Pakistan,New Zealand,bat,Sheikh Zayed Stadium,211,204,New Zealand
94,Wellington,January,ODI,New Zealand,Pakistan,Pakistan,field,Basin Reserve,315,166,New Zealand
95,Chandigarh,October,ODI,New Zealand,Pakistan,Pakistan,field,"Punjab Cricket Association Stadium, Mohali",274,223,New Zealand
96,Hamilton,January,ODI,Pakistan,New Zealand,Pakistan,bat,Seddon Park,262,263,New Zealand
97,Johannesburg,October,ODI,New Zealand,Pakistan,Pakistan,bat,New Wanderers Stadium,234,233,New Zealand
98,Auckland,February,ODI,New Zealand,Pakistan,Pakistan,field,Eden Park,311,254,New Zealand
99,Napier,February,ODI,New Zealand,Pakistan,New Zealand,bat,McLean Park,262,264,Pakistan
100,Abu Dhabi,November,ODI,New Zealand,Pakistan,Pakistan,bat,Sheikh Zayed Stadium,149,287,Pakistan
101,Taunton,July,ODI,New Zealand,Pakistan,Pakistan,bat,County Ground,147,144,New Zealand
102,Birmingham,June,ODI,New Zealand,Pakistan,New Zealand,bat,Edgbaston,237,241,Pakistan
103,Abu Dhabi,November,ODI,New Zealand,Pakistan,New Zealand,bat,Sheikh Zayed Stadium,209,212,Pakistan
104,Abu Dhabi,December,ODI,New Zealand,Pakistan,New Zealand,bat,Sheikh Zayed Stadium,299,292,New Zealand
105,,November,ODI,Pakistan,New Zealand,Pakistan,bat,Dubai International Cricket Stadium,279,35,draw
106,Abu Dhabi,December,ODI,New Zealand,Pakistan,New Zealand,bat,Sheikh Zayed Stadium,275,207,New Zealand
107,,December,ODI,New Zealand,Pakistan,Pakistan,field,Dubai International Cricket Stadium,246,250,Pakistan
108,Abu Dhabi,November,ODI,New Zealand,Pakistan,New Zealand,bat,Sheikh Zayed Stadium,266,219,New Zealand
109,Wellington,January,ODI,New Zealand,Pakistan,Pakistan,bat,Westpac Stadium,125,124,New Zealand
110,Napier,February,ODI,New Zealand,Pakistan,New Zealand,bat,McLean Park,369,250,New Zealand
111,Wellington,January,ODI,New Zealand,Pakistan,Pakistan,field,Basin Reserve,280,210,New Zealand
112,Nelson,January,ODI,Pakistan,New Zealand,Pakistan,bat,Saxton Oval,246,151,New Zealand
113,Lincoln,November,ODI,New Zealand,Pakistan,New Zealand,bat,Bert Sutcliffe Oval,309,142,New Zealand
114,,October,ODI,New Zealand,Pakistan,New Zealand,bat,Sharjah Cricket Stadium,240,232,New Zealand
115,,December,ODI,New Zealand,Pakistan,Pakistan,bat,Sharjah Cricket Stadium,255,252,New Zealand
116,,March,ODI,New Zealand,Pakistan,New Zealand,bat,Pallekele International Cricket Stadium,302,192,New Zealand
117,Abu Dhabi,November,ODI,New Zealand,Pakistan,New Zealand,bat,Sheikh Zayed Stadium,303,239,New Zealand
118,Lincoln,November,ODI,New Zealand,Pakistan,Pakistan,bat,Bert Sutcliffe Oval,267,263,New Zealand
119,,November,ODI,New Zealand,Pakistan,New Zealand,bat,Sharjah Cricket Stadium,155,156,Pakistan
120,Hamilton,February,ODI,New Zealand,Pakistan,New Zealand,field,Seddon Park,227,268,Pakistan
121,Wellington,January,ODI,New Zealand,Pakistan,New Zealand,bat,Basin Reserve,271,256,New Zealand
122,Auckland,January,ODI,New Zealand,Pakistan,Pakistan,bat,Eden Park,265,290,New Zealand
123,Nelson,November,ODI,New Zealand,Pakistan,New Zealand,field,Saxton Oval,162,158,New Zealand
124,Karachi,April,T20,Pakistan,West Indies,Pakistan,bat,National Stadium,205,123,Pakistan
125,Karachi,February,T20,Pakistan,West Indies,Pakistan,bat,Southend Club Cricket Stadium,150,138,Pakistan
126,Karachi,April,T20,West Indies,Pakistan,West Indies,bat,National Stadium,153,154,Pakistan
127,Karachi,April,T20,Pakistan,West Indies,West Indies,field,National Stadium,203,60,Pakistan
128,Canberra,February,T20,Pakistan,West Indies,West Indies,bat,Manuka Oval,127,124,Pakistan
129,Trinidad,March,T20,West Indies,Pakistan,West Indies,field,"Queen's Park Oval, Port of Spain",129,132,Pakistan
130,St Lucia,April,T20,West Indies,Pakistan,West Indies,bat,"Beausejour Stadium, Gros Islet",150,143,West Indies
131,Karachi,January,T20,Pakistan,West Indies,West Indies,bat,Southend Club Cricket Stadium,89,160,West Indies
132,St Vincent,July,T20,West Indies,Pakistan,West Indies,bat,"Arnos Vale Ground, Kingstown",152,158,Pakistan
133,Chennai,March,T20,Pakistan,West Indies,Pakistan,field,"MA Chidambaram Stadium, Chepauk",99,103,West Indies
134,,September,T20,Pakistan,West Indies,West Indies,field,Dubai International Cricket Stadium,160,144,Pakistan
135,Mirpur,April,T20,Pakistan,West Indies,West Indies,bat,Shere Bangla National Stadium,82,166,West Indies
136,St Vincent,July,T20,West Indies,Pakistan,Pakistan,bat,"Arnos Vale Ground, Kingstown",124,135,Pakistan
137,Grenada,October,T20,West Indies,Pakistan,West Indies,field,"National Cricket Stadium, St George's",78,74,West Indies
138,Barbados,March,T20,West Indies,Pakistan,Pakistan,field,"Kensington Oval, Bridgetown",111,115,Pakistan
139,,September,T20,Pakistan,West Indies,Pakistan,field,Dubai International Cricket Stadium,116,115,Pakistan
140,Trinidad,April,T20,West Indies,Pakistan,Pakistan,field,"Queen's Park Oval, Port of Spain",124,127,Pakistan
141,Abu Dhabi,September,T20,Pakistan,West Indies,Pakistan,field,Sheikh Zayed Stadium,108,103,Pakistan
142,Trinidad,April,T20,West Indies,Pakistan,Pakistan,bat,"Queen's Park Oval, Port of Spain",138,137,West Indies
143,Abu Dhabi,February,ODI,England,Pakistan,England,bat,Sheikh Zayed Stadium,250,230,England
144,Loughborough,July,ODI,England,Pakistan,Pakistan,bat,Haslegrave Ground,157,156,England
145,Southampton,September,ODI,England,Pakistan,Pakistan,field,The Rose Bowl,271,274,Pakistan
146,Nottingham,August,ODI,England,Pakistan,England,bat,Trent Bridge,444,275,England
147,Leeds,September,ODI,England,Pakistan,Pakistan,bat,Headingley,252,247,England
148,Kuala Lumpur,December,ODI,England,Pakistan,England,bat,Kinrara Academy Oval,284,209,England
149,Leicester,June,ODI,England,Pakistan,Pakistan,field,Grace Road,377,107,England
150,Cardiff,August,ODI,England,Pakistan,Pakistan,field,Sophia Gardens,202,46,draw
151,,November,ODI,England,Pakistan,England,bat,Dubai International Cricket Stadium,355,271,England
152,Abu Dhabi,November,ODI,England,Pakistan,England,bat,Sheikh Zayed Stadium,216,217,Pakistan
153,Southampton,September,ODI,England,Pakistan,England,bat,The Rose Bowl,256,135,England
154,Southampton,August,ODI,England,Pakistan,Pakistan,bat,The Rose Bowl,194,260,England
155,Southampton,May,ODI,England,Pakistan,Pakistan,field,The Rose Bowl,373,361,England
156,Chester-le-Street,September,ODI,England,Pakistan,Pakistan,field,Riverside Ground,274,250,England
157,Nottingham,May,ODI,England,Pakistan,England,field,Trent Bridge,341,340,England
158,Leeds,May,ODI,England,Pakistan,England,bat,Headingley,351,297,England
159,Abu Dhabi,February,ODI,England,Pakistan,England,bat,Sheikh Zayed Stadium,260,130,England
160,Abu Dhabi,November,ODI,England,Pakistan,England,bat,Sheikh Zayed Stadium,283,188,England
161,Nottingham,June,ODI,England,Pakistan,England,field,Trent Bridge,334,348,Pakistan
162,,February,ODI,England,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,241,237,England
163,,November,ODI,England,Pakistan,Pakistan,bat,Sharjah Cricket Stadium,210,208,England
164,Cardiff,September,ODI,England,Pakistan,Pakistan,field,Sophia Gardens,302,304,Pakistan
165,Nottingham,September,ODI,England,Pakistan,Pakistan,bat,Trent Bridge,237,235,England
166,,July,ODI,England,Pakistan,England,bat,Louth Cricket Club,227,116,England
167,Cardiff,June,ODI,England,Pakistan,Pakistan,field,Sophia Gardens,211,215,Pakistan
168,London,September,ODI,England,Pakistan,Pakistan,field,Lord's,166,169,Pakistan
169,Leeds,September,ODI,England,Pakistan,Pakistan,bat,Headingley,295,294,England
170,Taunton,June,ODI,England,Pakistan,England,bat,County Ground,366,164,England
171,London,September,ODI,England,Pakistan,Pakistan,bat,Kennington Oval,218,241,Pakistan
172,Leicester,June,ODI,England,Pakistan,England,field,Grace Road,166,165,England
173,,February,ODI,England,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,226,222,England
174,Birmingham,September,ODI,England,Pakistan,England,field,Edgbaston,155,154,England
175,Bristol,May,ODI,England,Pakistan,England,field,County Ground,359,358,England
176,Kuala Lumpur,December,ODI,England,Pakistan,England,bat,Kinrara Academy Oval,327,200,England
177,London,September,ODI,England,Pakistan,Pakistan,bat,Lord's,227,265,Pakistan
178,Worcester,June,ODI,England,Pakistan,Pakistan,field,"County Ground, New Road",378,166,England
179,London,August,ODI,England,Pakistan,Pakistan,bat,Lord's,255,251,England
180,Lahore,October,T20,Pakistan,Bangladesh,Pakistan,bat,Gaddafi Stadium,126,112,Pakistan
181,Lahore,January,T20,Pakistan,Bangladesh,Bangladesh,bat,Gaddafi Stadium,142,141,Pakistan
182,Karachi,October,T20,Pakistan,Bangladesh,Pakistan,bat,Southend Club Cricket Stadium,114,80,Pakistan
183,St Lucia,May,T20,Bangladesh,Pakistan,Pakistan,bat,"Beausejour Stadium, Gros Islet",151,172,Pakistan
184,Mirpur,November,T20,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium,85,135,Pakistan
185,Nairobi,September,T20,Bangladesh,Pakistan,Bangladesh,field,Gymkhana Club Ground,161,191,Pakistan
186,Karachi,April,T20,Pakistan,Bangladesh,Pakistan,bat,National Stadium,203,101,Pakistan
187,Delhi,March,T20,Bangladesh,Pakistan,Bangladesh,bat,Feroz Shah Kotla,113,114,Pakistan
188,Mirpur,March,T20,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium,140,190,Pakistan
189,Lahore,January,T20,Pakistan,Bangladesh,Bangladesh,bat,Gaddafi Stadium,137,136,Pakistan
190,Mirpur,April,T20,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium,143,141,Bangladesh
191,,October,T20,Bangladesh,Pakistan,Pakistan,field,Guanggong International Cricket Stadium,82,83,Pakistan
192,Kuala Lumpur,June,T20,Pakistan,Bangladesh,Bangladesh,field,Kinrara Academy Oval,95,96,Bangladesh
193,Karachi,September,T20,Pakistan,Bangladesh,Pakistan,bat,Southend Club Cricket Stadium,124,95,Pakistan
194,Kolkata,March,T20,Bangladesh,Pakistan,Pakistan,bat,Eden Gardens,146,201,Pakistan
195,Mirpur,March,T20,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium,131,129,Bangladesh
196,Cape Town,September,T20,Bangladesh,Pakistan,Pakistan,field,Newlands,140,141,Pakistan
197,,September,T20,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium,175,178,Pakistan
198,Nairobi,September,T20,Kenya,Pakistan,Kenya,bat,Gymkhana Club Ground,92,93,Pakistan
199,Dublin,July,T20,Ireland,Pakistan,Pakistan,bat,YMCA Cricket Club,110,148,Pakistan
200,Doha,January,T20,Ireland,Pakistan,Ireland,field,West End Park International Cricket Stadium,98,97,Ireland
201,London,June,T20,Ireland,Pakistan,Pakistan,bat,Kennington Oval,120,159,Pakistan
202,,March,T20,Ireland,Pakistan,Pakistan,bat,Sylhet Stadium,105,119,Pakistan
203,Guyana,November,T20,Pakistan,Ireland,Pakistan,bat,Providence Stadium,139,101,Pakistan
204,Dublin,July,T20,Ireland,Pakistan,Pakistan,field,YMCA Cricket Club,65,66,Pakistan
205,,October,ODI,Pakistan,South Africa,Pakistan,bat,Multan Cricket Stadium,230,233,South Africa
206,Benoni,May,ODI,South Africa,Pakistan,Pakistan,field,Willowmoore Park,265,265,draw
207,,November,ODI,Pakistan,South Africa,South Africa,bat,Sharjah Cricket Stadium,151,268,South Africa
208,Johannesburg,January,ODI,South Africa,Pakistan,Pakistan,field,The Wanderers Stadium,164,168,Pakistan
209,Durban,February,ODI,South Africa,Pakistan,Pakistan,bat,Kingsmead,210,351,Pakistan
210,,March,ODI,Pakistan,South Africa,Pakistan,bat,Sharjah Cricket Stadium,153,156,South Africa
211,Bloemfontein,March,ODI,South Africa,Pakistan,Pakistan,field,Chevrolet Park,315,190,South Africa
212,Johannesburg,March,ODI,South Africa,Pakistan,Pakistan,field,New Wanderers Stadium,343,309,South Africa
213,Abu Dhabi,November,ODI,Pakistan,South Africa,South Africa,bat,Sheikh Zayed Stadium,238,266,South Africa
214,Port Elizabeth,January,ODI,South Africa,Pakistan,South Africa,bat,St George's Park,266,267,Pakistan
215,Cape Town,November,ODI,South Africa,Pakistan,Pakistan,bat,Newlands,195,218,Pakistan
216,Lahore,October,ODI,Pakistan,South Africa,South Africa,bat,Gaddafi Stadium,219,233,South Africa
217,Leicester,June,ODI,Pakistan,South Africa,South Africa,field,Grace Road,206,207,South Africa
218,Potchefstroom,May,ODI,South Africa,Pakistan,South Africa,field,Senwes Park,148,147,South Africa
219,Colombo,February,ODI,Pakistan,South Africa,South Africa,bat,Nondescripts Cricket Club Ground,195,258,South Africa
220,Abu Dhabi,October,ODI,Pakistan,South Africa,South Africa,bat,Sheikh Zayed Stadium,289,286,Pakistan
221,Birmingham,June,ODI,Pakistan,South Africa,South Africa,bat,Edgbaston,167,234,South Africa
222,Cape Town,February,ODI,South Africa,Pakistan,South Africa,field,Newlands,113,107,South Africa
223,Centurion,March,ODI,South Africa,Pakistan,South Africa,bat,SuperSport Park,191,192,Pakistan
224,Durban,January,ODI,South Africa,Pakistan,South Africa,field,Kingsmead,207,203,South Africa
225,Birmingham,June,ODI,Pakistan,South Africa,South Africa,bat,Edgbaston,119,219,Pakistan
226,Lahore,October,ODI,Pakistan,South Africa,Pakistan,bat,Gaddafi Stadium,265,240,Pakistan
227,,November,ODI,Pakistan,South Africa,Pakistan,field,Dubai International Cricket Stadium,226,228,South Africa
228,Centurion,February,ODI,South Africa,Pakistan,Pakistan,field,SuperSport Park,392,228,South Africa
229,,October,ODI,Pakistan,South Africa,South Africa,bat,Sharjah Cricket Stadium,182,183,South Africa
230,Centurion,November,ODI,South Africa,Pakistan,South Africa,field,SuperSport Park,181,179,South Africa
231,Benoni,March,ODI,South Africa,Pakistan,Pakistan,bat,Willowmoore Park,208,205,South Africa
232,Port Elizabeth,November,ODI,South Africa,Pakistan,South Africa,field,St George's Park,261,262,Pakistan
233,Auckland,March,ODI,Pakistan,South Africa,South Africa,field,Eden Park,222,202,Pakistan
234,Chandigarh,October,ODI,Pakistan,South Africa,South Africa,bat,"Punjab Cricket Association Stadium, Mohali",89,213,South Africa
235,,November,ODI,Pakistan,South Africa,South Africa,bat,Dubai International Cricket Stadium,275,274,Pakistan
236,Faisalabad,October,ODI,Pakistan,South Africa,South Africa,bat,Iqbal Stadium,202,197,Pakistan
237,Durban,March,ODI,South Africa,Pakistan,South Africa,bat,Kingsmead,234,236,Pakistan
238,Potchefstroom,May,ODI,South Africa,Pakistan,Pakistan,field,Senwes Park,63,66,Pakistan
239,Abu Dhabi,October,ODI,Pakistan,South Africa,Pakistan,bat,Sheikh Zayed Stadium,203,207,South Africa
240,Lahore,October,ODI,Pakistan,South Africa,South Africa,bat,Gaddafi Stadium,249,294,South Africa
241,Cape Town,January,ODI,South Africa,Pakistan,South Africa,field,Newlands,241,240,South Africa
242,Centurion,January,ODI,South Africa,Pakistan,Pakistan,bat,SuperSport Park,187,317,South Africa
243,,November,ODI,Pakistan,South Africa,South Africa,bat,Dubai International Cricket Stadium,260,317,South Africa
244,Johannesburg,February,ODI,South Africa,Pakistan,Pakistan,bat,New Wanderers Stadium,156,153,South Africa
245,Abu Dhabi,November,ODI,Pakistan,South Africa,South Africa,bat,Sheikh Zayed Stadium,191,259,South Africa
246,,November,ODI,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium,209,143,Pakistan
247,London,June,ODI,Pakistan,South Africa,Pakistan,bat,Lord's,308,259,Pakistan
248,Edinburgh,June,T20,Pakistan,Scotland,Pakistan,bat,"Grange Cricket Club, Raeburn Place",204,156,Pakistan
249,Durban,September,T20,Pakistan,Scotland,Scotland,field,Kingsmead,171,120,Pakistan
250,Edinburgh,June,T20,Pakistan,Scotland,Pakistan,bat,"Grange Cricket Club, Raeburn Place",166,82,Pakistan
251,Karachi,April,ODI,Pakistan,Bangladesh,Pakistan,bat,National Stadium,329,179,Pakistan
252,,June,ODI,Bangladesh,Pakistan,Pakistan,bat,Rangiri Dambulla International Stadium,246,385,Pakistan
253,Mirpur,April,ODI,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium,251,250,Bangladesh
254,Mirpur,March,ODI,Bangladesh,Pakistan,Bangladesh,field,Shere Bangla National Stadium,234,236,Pakistan
255,Karachi,July,ODI,Pakistan,Bangladesh,Bangladesh,bat,National Stadium,116,115,Pakistan
256,,April,ODI,Pakistan,Bangladesh,Bangladesh,bat,Multan Cricket Stadium,212,210,Pakistan
257,Lahore,April,ODI,Pakistan,Bangladesh,Pakistan,bat,Gaddafi Stadium,308,285,Pakistan
258,Mirpur,March,ODI,Bangladesh,Pakistan,Bangladesh,field,Shere Bangla National Stadium,241,262,Pakistan
259,Mirpur,December,ODI,Bangladesh,Pakistan,Bangladesh,bat,Shere Bangla National Stadium,91,93,Pakistan
260,Mirpur,June,ODI,Bangladesh,Pakistan,Bangladesh,field,Shere Bangla National Stadium,163,233,Pakistan
261,Mirpur,March,ODI,Bangladesh,Pakistan,Bangladesh,bat,Shere Bangla National Stadium,326,329,Pakistan
262,Abu Dhabi,September,ODI,Bangladesh,Pakistan,Bangladesh,bat,Sheikh Zayed Stadium,239,202,Bangladesh
263,Chittagong,December,ODI,Bangladesh,Pakistan,Pakistan,bat,Zahur Ahmed Chowdhury Stadium,119,177,Pakistan
264,London,July,ODI,Bangladesh,Pakistan,Pakistan,bat,Lord's,221,315,Pakistan
265,Mirpur,April,ODI,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium,240,239,Bangladesh
266,Karachi,October,ODI,Pakistan,Bangladesh,Bangladesh,bat,Southend Club Cricket Stadium,124,123,Pakistan
267,Mirpur,December,ODI,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium,186,262,Pakistan
268,Faisalabad,April,ODI,Pakistan,Bangladesh,Bangladesh,bat,Iqbal Stadium,160,225,Pakistan
269,Colombo,February,ODI,Bangladesh,Pakistan,Pakistan,bat,P Sara Oval,160,227,Pakistan
270,Mirpur,April,ODI,Bangladesh,Pakistan,Bangladesh,bat,Shere Bangla National Stadium,329,250,Bangladesh
271,Lahore,April,ODI,Pakistan,Bangladesh,Pakistan,bat,Gaddafi Stadium,322,129,Pakistan
272,Dublin,July,ODI,Ireland,Pakistan,Pakistan,bat,YMCA Cricket Club,159,248,Pakistan
273,Dublin,July,ODI,Ireland,Pakistan,Pakistan,bat,"Observatory Lane, Rathmines",123,280,Pakistan
274,,March,ODI,Ireland,Pakistan,Ireland,bat,Adelaide Oval,237,241,Pakistan
275,Dublin,May,ODI,Ireland,Pakistan,Pakistan,bat,Clontarf Cricket Club Ground,275,266,draw
276,Jamaica,March,ODI,Ireland,Pakistan,Ireland,field,"Sabina Park, Kingston",133,132,Ireland
277,,February,ODI,Ireland,Pakistan,Pakistan,bat,Colombo Cricket Club Ground,185,271,Pakistan
278,Dublin,May,ODI,Ireland,Pakistan,Pakistan,field,Clontarf Cricket Club Ground,229,230,Pakistan
279,Dublin,August,ODI,Ireland,Pakistan,Ireland,field,"The Village, Malahide",82,337,Pakistan
280,Hambantota,February,ODI,Kenya,Pakistan,Pakistan,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",112,317,Pakistan
281,Nottingham,June,T20,Pakistan,South Africa,Pakistan,bat,Trent Bridge,149,142,Pakistan
282,,November,T20,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium,98,99,South Africa
283,Doha,January,T20,Pakistan,South Africa,Pakistan,field,West End Park International Cricket Stadium,72,68,Pakistan
284,St Lucia,May,T20,Pakistan,South Africa,Pakistan,bat,"Beausejour Stadium, Gros Islet",148,137,Pakistan
285,Pietermaritzburg,May,T20,South Africa,Pakistan,Pakistan,bat,City Oval,129,128,South Africa
286,Colombo,September,T20,Pakistan,South Africa,South Africa,bat,R Premadasa Stadium,136,133,Pakistan
287,Pietermaritzburg,May,T20,South Africa,Pakistan,Pakistan,field,City Oval,138,139,Pakistan
288,Abu Dhabi,October,T20,Pakistan,South Africa,Pakistan,bat,Sheikh Zayed Stadium,120,125,South Africa
289,Johannesburg,February,T20,South Africa,Pakistan,Pakistan,field,The Wanderers Stadium,188,181,South Africa
290,,November,T20,Pakistan,South Africa,South Africa,bat,Dubai International Cricket Stadium,144,150,South Africa
291,,March,T20,Pakistan,South Africa,Pakistan,field,Sharjah Cricket Stadium,103,101,Pakistan
292,Sydney,March,T20,Pakistan,South Africa,South Africa,bat,Sydney Showground Stadium,119,136,South Africa
293,Centurion,February,T20,South Africa,Pakistan,South Africa,field,SuperSport Park,141,168,Pakistan
294,,March,T20,Pakistan,South Africa,South Africa,field,Sharjah Cricket Stadium,106,107,South Africa
295,Benoni,May,T20,South Africa,Pakistan,South Africa,field,Willowmoore Park,174,172,South Africa
296,,March,T20,Pakistan,South Africa,South Africa,bat,Sharjah Cricket Stadium,84,83,Pakistan
297,Cape Town,November,T20,South Africa,Pakistan,Pakistan,bat,Newlands,170,176,Pakistan
298,Doha,January,T20,Pakistan,South Africa,Pakistan,field,West End Park International Cricket Stadium,65,64,Pakistan
299,Centurion,March,T20,South Africa,Pakistan,Pakistan,bat,SuperSport Park,100,195,Pakistan
300,Pretoria,May,T20,South Africa,Pakistan,Pakistan,field,LC de Villiers Oval,119,120,Pakistan
301,Abu Dhabi,October,T20,Pakistan,South Africa,Pakistan,bat,Sheikh Zayed Stadium,119,120,South Africa
302,Benoni,May,T20,South Africa,Pakistan,South Africa,field,Willowmoore Park,127,125,South Africa
303,Cape Town,February,T20,South Africa,Pakistan,Pakistan,field,Newlands,192,186,South Africa
304,Johannesburg,November,T20,South Africa,Pakistan,Pakistan,field,New Wanderers Stadium,153,60,South Africa
305,Edinburgh,May,ODI,Scotland,Pakistan,Pakistan,bat,"Grange Cricket Club Ground, Raeburn Place",135,231,Pakistan
306,Abu Dhabi,September,ODI,Afghanistan,Pakistan,Afghanistan,bat,Sheikh Zayed Stadium,257,258,Pakistan
307,,February,ODI,Afghanistan,Pakistan,Afghanistan,bat,Sharjah Cricket Stadium,195,198,Pakistan
308,Fatullah,February,ODI,Afghanistan,Pakistan,Afghanistan,field,Khan Shaheb Osman Ali Stadium,176,248,Pakistan
309,Leeds,June,ODI,Afghanistan,Pakistan,Afghanistan,bat,Headingley,227,230,Pakistan
310,,January,T20,Pakistan,Sri Lanka,Pakistan,bat,Sharjah Cricket Stadium,110,112,Sri Lanka
311,Lahore,October,T20,Pakistan,Sri Lanka,Sri Lanka,bat,Gaddafi Stadium,134,147,Sri Lanka
312,Abu Dhabi,October,T20,Sri Lanka,Pakistan,Pakistan,field,Sheikh Zayed Stadium,102,103,Pakistan
313,Hambantota,June,T20,Sri Lanka,Pakistan,Pakistan,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",99,122,Pakistan
314,Colombo,October,T20,Sri Lanka,Pakistan,Sri Lanka,bat,R Premadasa Stadium,139,123,Sri Lanka
315,Hambantota,June,T20,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",132,95,Sri Lanka
316,,December,T20,Pakistan,Sri Lanka,Pakistan,field,Dubai International Cricket Stadium,146,145,Pakistan
317,London,June,T20,Pakistan,Sri Lanka,Sri Lanka,bat,Lord's,131,150,Sri Lanka
318,Abu Dhabi,November,T20,Pakistan,Sri Lanka,Sri Lanka,bat,Sheikh Zayed Stadium,142,141,Pakistan
319,,January,T20,Pakistan,Sri Lanka,Pakistan,bat,Sharjah Cricket Stadium,124,69,Pakistan
320,Colombo,August,T20,Sri Lanka,Pakistan,Pakistan,bat,R Premadasa Stadium,120,172,Pakistan
321,London,June,T20,Pakistan,Sri Lanka,Sri Lanka,bat,Lord's,139,138,Pakistan
322,,April,T20,Pakistan,Sri Lanka,Pakistan,bat,Sylhet Stadium,122,108,Pakistan
323,Kuala Lumpur,June,T20,Pakistan,Sri Lanka,Sri Lanka,field,Kinrara Academy Oval,136,113,Pakistan
324,Mirpur,March,T20,Pakistan,Sri Lanka,Pakistan,field,Shere Bangla National Stadium,151,150,Pakistan
325,Colombo,March,T20,Sri Lanka,Pakistan,Pakistan,field,Sinhalese Sports Club Ground,124,133,Pakistan
326,Lahore,October,T20,Pakistan,Sri Lanka,Sri Lanka,bat,Gaddafi Stadium,147,182,Sri Lanka
327,Colombo,March,T20,Pakistan,Sri Lanka,Pakistan,bat,Nondescripts Cricket Club Ground,72,73,Sri Lanka
328,,December,T20,Pakistan,Sri Lanka,Pakistan,field,Dubai International Cricket Stadium,187,211,Sri Lanka
329,Lahore,October,T20,Pakistan,Sri Lanka,Pakistan,field,Gaddafi Stadium,101,165,Sri Lanka
330,King City,October,T20,Pakistan,Sri Lanka,Pakistan,field,Maple Leaf North-West Ground,141,137,Pakistan
331,Abu Dhabi,October,T20,Sri Lanka,Pakistan,Pakistan,field,Sheikh Zayed Stadium,124,125,Pakistan
332,King City,October,T20,Pakistan,Sri Lanka,Sri Lanka,field,Maple Leaf North-West Ground,132,133,Sri Lanka
333,Lahore,October,T20,Pakistan,Sri Lanka,Sri Lanka,field,Gaddafi Stadium,180,144,Pakistan
334,Colombo,August,T20,Sri Lanka,Pakistan,Sri Lanka,bat,R Premadasa Stadium,172,174,Pakistan
335,Johannesburg,September,T20,Pakistan,Sri Lanka,Sri Lanka,field,New Wanderers Stadium,189,156,Pakistan
336,Colombo,July,T20,Sri Lanka,Pakistan,Pakistan,bat,R Premadasa Stadium,146,175,Pakistan
337,,December,T20,Afghanistan,Pakistan,Afghanistan,bat,Sharjah Cricket Stadium,137,138,Pakistan
338,Abu Dhabi,November,ODI,Pakistan,Sri Lanka,Sri Lanka,bat,Sheikh Zayed Stadium,219,218,Pakistan
339,Hambantota,August,ODI,Sri Lanka,Pakistan,Pakistan,field,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",275,277,Pakistan
340,,November,ODI,Pakistan,Sri Lanka,Pakistan,bat,Dubai International Cricket Stadium,257,236,Pakistan
341,,August,ODI,Sri Lanka,Pakistan,Sri Lanka,field,Rangiri Dambulla International Stadium,289,288,Sri Lanka
342,,August,ODI,Sri Lanka,Pakistan,Pakistan,bat,Rangiri Dambulla International Stadium,104,102,Sri Lanka
343,Cardiff,June,ODI,Pakistan,Sri Lanka,Pakistan,field,Sophia Gardens,237,236,Pakistan
