id,city,month,match_type,team,batsman,position,bowler,over_no,ball_no,venue,wicket_out,score
49,,February,ODI,Pakistan,Kamran Akmal,2,IK Pathan,8,1,Rawalpindi Cricket Stadium,False,0
50,,February,ODI,Pakistan,Kamran Akmal,2,IK Pathan,8,2,Rawalpindi Cricket Stadium,False,1
51,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,8,3,Rawalpindi Cricket Stadium,False,1
52,,February,ODI,Pakistan,Kamran Akmal,2,IK Pathan,8,4,Rawalpindi Cricket Stadium,True,0
53,,February,ODI,Pakistan,Mohammad Yousuf,4,IK Pathan,8,5,Rawalpindi Cricket Stadium,False,0
54,,February,ODI,Pakistan,Mohammad Yousuf,4,IK Pathan,8,6,Rawalpindi Cricket Stadium,False,0
55,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,9,1,Rawalpindi Cricket Stadium,False,0
56,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,9,2,Rawalpindi Cricket Stadium,False,1
57,,February,ODI,Pakistan,Mohammad Yousuf,4,S Sreesanth,9,3,Rawalpindi Cricket Stadium,False,1
58,,February,ODI,Pakistan,Mohammad Yousuf,4,S Sreesanth,9,4,Rawalpindi Cricket Stadium,False,0
59,,February,ODI,Pakistan,Mohammad Yousuf,4,S Sreesanth,9,5,Rawalpindi Cricket Stadium,False,0
60,,February,ODI,Pakistan,Mohammad Yousuf,4,S Sreesanth,9,6,Rawalpindi Cricket Stadium,False,1
61,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,9,7,Rawalpindi Cricket Stadium,False,1
62,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,10,1,Rawalpindi Cricket Stadium,False,1
63,,February,ODI,Pakistan,Inzamam-ul-Haq,5,IK Pathan,10,2,Rawalpindi Cricket Stadium,False,0
64,,February,ODI,Pakistan,Inzamam-ul-Haq,5,IK Pathan,10,3,Rawalpindi Cricket Stadium,False,0
65,,February,ODI,Pakistan,Inzamam-ul-Haq,5,IK Pathan,10,4,Rawalpindi Cricket Stadium,False,0
66,,February,ODI,Pakistan,Inzamam-ul-Haq,5,IK Pathan,10,5,Rawalpindi Cricket Stadium,False,0
67,,February,ODI,Pakistan,Inzamam-ul-Haq,5,IK Pathan,10,6,Rawalpindi Cricket Stadium,False,4
68,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,11,1,Rawalpindi Cricket Stadium,False,1
69,,February,ODI,Pakistan,Inzamam-ul-Haq,5,S Sreesanth,11,2,Rawalpindi Cricket Stadium,False,2
70,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,11,3,Rawalpindi Cricket Stadium,False,2
71,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,11,4,Rawalpindi Cricket Stadium,False,0
72,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,11,5,Rawalpindi Cricket Stadium,False,0
73,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,11,6,Rawalpindi Cricket Stadium,False,0
74,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,11,7,Rawalpindi Cricket Stadium,False,4
75,,February,ODI,Pakistan,Inzamam-ul-Haq,5,IK Pathan,12,1,Rawalpindi Cricket Stadium,False,0
