id,match_type,month,city,position,bat_team,batsman,bowling_team,venue,score
7655,ODI,July,Leicester,5,Australia,EJ Villani,Pakistan,Grace Road,60
7656,ODI,July,Leicester,6,Australia,AJ Blackwell,Pakistan,Grace Road,23
7657,ODI,July,Leicester,7,Australia,AJ Healy,Pakistan,Grace Road,64
7658,ODI,July,Leicester,8,Australia,JL Jonassen,Pakistan,Grace Road,2
7659,ODI,July,Leicester,9,Australia,A Gardner,Pakistan,Grace Road,22
7660,ODI,July,Leicester,10,Australia,SE Aley,Pakistan,Grace Road,15
7661,ODI,July,Leicester,1,Pakistan,Ayesha Zafar,Australia,Grace Road,10
7662,ODI,July,Leicester,2,Pakistan,Nahida Khan,Australia,Grace Road,1
7663,ODI,July,Leicester,3,Pakistan,Marina Iqbal,Australia,Grace Road,9
7664,ODI,July,Leicester,4,Pakistan,Nain Abidi,Australia,Grace Road,9
7665,ODI,July,Leicester,5,Pakistan,Iram Javed,Australia,Grace Road,22
7666,ODI,July,Leicester,6,Pakistan,Asmavia Iqbal,Australia,Grace Road,13
7667,ODI,July,Leicester,7,Pakistan,Sana Mir,Australia,Grace Road,50
7668,ODI,July,Leicester,8,Pakistan,Sidra Nawaz,Australia,Grace Road,9
7669,ODI,July,Leicester,9,Pakistan,Nashra Sandhu,Australia,Grace Road,8
7670,ODI,July,Leicester,10,Pakistan,Sadia Yousuf,Australia,Grace Road,0
7671,ODI,July,Leicester,11,Pakistan,Diana Baig,Australia,Grace Road,0
7672,ODI,April,,1,Pakistan,Salman Butt,Australia,Dubai Sports City Cricket Stadium,59
7673,ODI,April,,2,Pakistan,Ahmed Shehzad,Australia,Dubai Sports City Cricket Stadium,4
7674,ODI,April,,3,Pakistan,Younis Khan,Australia,Dubai Sports City Cricket Stadium,28
7675,ODI,April,,4,Pakistan,Shoaib Malik,Australia,Dubai Sports City Cricket Stadium,7
7676,ODI,April,,5,Pakistan,Misbah-ul-Haq,Australia,Dubai Sports City Cricket Stadium,12
7677,ODI,April,,6,Pakistan,Shahid Afridi,Australia,Dubai Sports City Cricket Stadium,42
7678,ODI,April,,7,Pakistan,Kamran Akmal,Australia,Dubai Sports City Cricket Stadium,19
7679,ODI,April,,8,Pakistan,Umar Gul,Australia,Dubai Sports City Cricket Stadium,10
7680,ODI,April,,9,Pakistan,Shoaib Akhtar,Australia,Dubai Sports City Cricket Stadium,25
7681,ODI,April,,10,Pakistan,Iftikhar Anjum,Australia,Dubai Sports City Cricket Stadium,1
7682,ODI,April,,11,Pakistan,Saeed Ajmal,Australia,Dubai Sports City Cricket Stadium,0
7683,ODI,April,,1,Australia,BJ Haddin,Pakistan,Dubai Sports City Cricket Stadium,9
7684,ODI,April,,2,Australia,JR Hopes,Pakistan,Dubai Sports City Cricket Stadium,52
7685,ODI,April,,3,Australia,SR Watson,Pakistan,Dubai Sports City Cricket Stadium,32
7686,ODI,April,,4,Australia,MJ Clarke,Pakistan,Dubai Sports City Cricket Stadium,44
7687,ODI,April,,5,Australia,A Symonds,Pakistan,Dubai Sports City Cricket Stadium,61
7688,ODI,April,,6,Australia,CJ Ferguson,Pakistan,Dubai Sports City Cricket Stadium,10
7689,ODI,January,Brisbane,1,Pakistan,Salman Butt,Australia,"Brisbane Cricket Ground, Woolloongabba",74
7690,ODI,January,Brisbane,2,Pakistan,Kamran Akmal,Australia,"Brisbane Cricket Ground, Woolloongabba",35
7691,ODI,January,Brisbane,3,Pakistan,Younis Khan,Australia,"Brisbane Cricket Ground, Woolloongabba",47
7692,ODI,January,Brisbane,4,Pakistan,Mohammad Yousuf,Australia,"Brisbane Cricket Ground, Woolloongabba",2
