id,month,city,match_type,batting_team,bowling_team,run_rate_first_ten,run_rate_second_ten,run_rate_third_ten,run_rate_forth_ten,run_rate_fifth_ten
822,July,Bulawayo,ODI,Zimbabwe,Pakistan,5,2,4,3,0
823,September,,ODI,Zimbabwe,Pakistan,2,4,4,4,6
824,September,,ODI,Pakistan,Zimbabwe,4,5,4,7,1
825,July,Bulawayo,ODI,Pakistan,Zimbabwe,3,5,6,6,7
826,July,Bulawayo,ODI,Zimbabwe,Pakistan,4,2,2,0,0
827,July,Bulawayo,ODI,Zimbabwe,Pakistan,2,5,3,3,3
828,July,Bulawayo,ODI,Pakistan,Zimbabwe,6,6,4,2,0
829,October,,ODI,Zimbabwe,Pakistan,4,4,4,5,8
830,October,,ODI,Pakistan,Zimbabwe,3,4,5,6,6
831,February,,ODI,Zimbabwe,Pakistan,4,3,4,3,2
832,February,,ODI,Pakistan,Zimbabwe,7,5,5,0,0
833,July,Bulawayo,ODI,Zimbabwe,Pakistan,3,2,0,0,0
834,July,Bulawayo,ODI,Pakistan,Zimbabwe,6,0,0,0,0
835,October,,ODI,Pakistan,Zimbabwe,3,4,4,4,8
836,October,,ODI,Zimbabwe,Pakistan,3,3,3,2,0
837,January,Sind,ODI,Zimbabwe,Pakistan,4,5,4,5,3
838,January,Sind,ODI,Pakistan,Zimbabwe,7,6,2,4,4
839,October,,ODI,Zimbabwe,Pakistan,4,4,3,3,0
840,October,,ODI,Pakistan,Zimbabwe,4,4,5,1,0
841,January,Karachi,ODI,Pakistan,Zimbabwe,5,5,8,6,8
842,January,Karachi,ODI,Zimbabwe,Pakistan,5,6,3,3,5
843,August,,ODI,Pakistan,Zimbabwe,4,4,5,5,4
844,August,,ODI,Zimbabwe,Pakistan,5,3,4,4,6
845,May,Lahore,ODI,Zimbabwe,Pakistan,4,5,4,4,7
846,May,Lahore,ODI,Pakistan,Zimbabwe,5,4,4,6,5
847,March,,ODI,Pakistan,Australia,3,5,4,5,2
848,March,,ODI,Australia,Pakistan,5,5,7,3,0
849,October,,ODI,Pakistan,Australia,4,5,5,3,2
850,October,,ODI,Australia,Pakistan,7,3,5,4,1
851,January,Perth,ODI,Pakistan,Australia,1,4,4,5,5
852,January,Perth,ODI,Australia,Pakistan,5,3,3,3,5
853,August,Brisbane,ODI,Pakistan,Australia,6,4,1,0,0
854,August,Brisbane,ODI,Australia,Pakistan,2,7,2,0,0
855,January,,ODI,Australia,Pakistan,7,3,7,6,10
856,January,,ODI,Pakistan,Australia,7,7,4,6,2
857,March,Dubai,ODI,Australia,Pakistan,6,6,4,6,9
858,March,Dubai,ODI,Pakistan,Australia,6,5,5,6,6
859,June,Taunton,ODI,Australia,Pakistan,6,7,6,7,3
860,June,Taunton,ODI,Pakistan,Australia,5,5,5,7,2
861,January,,ODI,Australia,Pakistan,5,5,3,3,4
862,January,,ODI,Pakistan,Australia,4,4,5,4,3
863,March,Sharjah,ODI,Pakistan,Australia,5,5,4,5,6
864,March,Sharjah,ODI,Australia,Pakistan,5,6,5,5,4
865,May,Abu Dhabi,ODI,Pakistan,Australia,3,3,5,4,3
866,May,Abu Dhabi,ODI,Australia,Pakistan,3,4,3,6,2
867,March,Colombo,ODI,Australia,Pakistan,3,4,3,2,2
868,March,Colombo,ODI,Pakistan,Australia,5,4,4,4,0
869,March,Dubai,ODI,Australia,Pakistan,4,4,6,5,7
870,March,Dubai,ODI,Pakistan,Australia,5,5,5,6,5
871,March,Abu Dhabi,ODI,Australia,Pakistan,5,5,3,4,8
872,March,Abu Dhabi,ODI,Pakistan,Australia,2,5,4,5,1
873,October,Kuala Lumpur,ODI,Pakistan,Australia,3,3,1,1,0
874,October,Kuala Lumpur,ODI,Australia,Pakistan,5,3,0,0,0
875,May,Abu Dhabi,ODI,Australia,Pakistan,7,3,3,4,6
876,May,Abu Dhabi,ODI,Pakistan,Australia,3,6,5,5,4
877,October,Abu Dhabi,ODI,Australia,Pakistan,4,5,4,2,6
878,October,Abu Dhabi,ODI,Pakistan,Australia,5,3,4,5,4
879,August,Brisbane,ODI,Pakistan,Australia,2,3,4,3,4
880,August,Brisbane,ODI,Australia,Pakistan,3,7,6,1,0
881,January,,ODI,Australia,Pakistan,7,5,7,7,9
882,January,,ODI,Pakistan,Australia,5,6,6,6,6
883,August,Abu Dhabi,ODI,Australia,Pakistan,4,3,4,6,6
884,August,Abu Dhabi,ODI,Pakistan,Australia,6,6,5,5,1
885,September,Centurion,ODI,Pakistan,Australia,5,3,4,3,5
886,September,Centurion,ODI,Australia,Pakistan,5,4,3,3,3
887,January,,ODI,Australia,Pakistan,6,3,3,5,7
888,January,,ODI,Pakistan,Australia,3,2,4,2,0
889,March,Sharjah,ODI,Pakistan,Australia,4,4,5,5,8
890,March,Sharjah,ODI,Australia,Pakistan,6,4,5,6,5
891,January,Brisbane,ODI,Australia,Pakistan,6,3,6,3,7
892,January,Brisbane,ODI,Pakistan,Australia,4,4,3,3,0
893,July,Leicester,ODI,Australia,Pakistan,2,4,7,5,9
894,July,Leicester,ODI,Pakistan,Australia,2,2,2,2,2
895,April,,ODI,Pakistan,Australia,3,4,3,5,4
896,April,,ODI,Australia,Pakistan,5,3,4,4,2
897,January,Brisbane,ODI,Pakistan,Australia,5,5,4,4,6
898,January,Brisbane,ODI,Australia,Pakistan,4,5,5,6,5
899,January,,ODI,Australia,Pakistan,4,5,4,5,8
900,January,,ODI,Pakistan,Australia,4,4,5,6,4
901,April,,ODI,Australia,Pakistan,5,5,1,4,0
902,April,,ODI,Pakistan,Australia,3,4,3,4,1
903,September,,ODI,Pakistan,Australia,4,5,5,4,5
